what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1294189304853
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1294189304853
java.vm.version,sysinfo,,,"17.1-b03",1294189304853
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294189305794
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1294189309701
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189310712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189341225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1294189341238
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294189341750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189343707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189346570
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1294189346578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189346849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189347310
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1294189348942
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1294189349200
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1294189349279
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294189354148
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189357457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189389053
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1294189389063
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294189389677
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294189390866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189402637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189408520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1294189408529
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294189425497
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294189426406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189430071
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189432820
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1294189432826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189437109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189454093
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1294189458801
started,bundle,com.google.gwt.eclipse.oophm,1.4.0.v201010280102,"com.google.gwt.eclipse.oophm",1294189458815
opened,view,com.google.gwt.eclipse.oophm,1.4.0.v201010280102,"com.google.gwt.eclipse.DevModeView",1294189458885
activated,view,com.google.gwt.eclipse.oophm,1.4.0.v201010280102,"com.google.gwt.eclipse.DevModeView",1294189458894
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1294189459703
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1294189460391
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1294189460402
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1294189462048
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1294189462080
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1294189462591
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1294189462601
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294189474005
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294189475298
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1294189491329
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294189495685
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189497134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189508042
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1294189508051
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1294189508719
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294189510049
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189519460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189520049
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294189520053
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189521503
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294189521937
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1294189521942
